,Unnamed: 0,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,return_on_investment,year,movie_id,primary_title,original_title,runtime_minutes,genres,averagerating,numvotes
851,4302,3,2013-03-15,Spring Breakers,5000000,14124286,31149251,6.2298502000000004,2013,tt2101441,Spring Breakers,Spring Breakers,94.0,"Comedy,Crime,Drama",5.3,126504
852,4303,4,2017-06-09,It Comes at Night,5000000,13985117,19720203,3.9440406,2017,tt4695012,It Comes at Night,It Comes at Night,91.0,"Horror,Mystery",6.2,69039
853,4311,12,2017-03-03,Before I Fall,5000000,12241072,18945682,3.7891364000000003,2017,tt1691916,Before I Fall,Before I Fall,98.0,"Drama,Fantasy,Mystery",6.4,39282
854,4314,15,2016-01-29,Fifty Shades of Black,5000000,11686940,22113075,4.422615,2016,tt4667094,Fifty Shades of Black,Fifty Shades of Black,92.0,Comedy,3.5,17189
855,4320,21,2017-03-17,The Belko Experiment,5000000,10166820,11792942,2.3585884,2017,tt1082807,The Belko Experiment,The Belko Experiment,89.0,"Horror,Thriller",6.1,38378
856,4321,22,2016-03-11,The Perfect Match,5000000,9669521,10182050,2.03641,2016,tt4871980,The Perfect Match,The Perfect Match,96.0,"Comedy,Romance",4.9,3052
857,4328,29,2018-09-21,Fahrenheit 11/9,5000000,6352306,6653715,1.330743,2018,tt8632862,Fahrenheit 11/9,Fahrenheit 11/9,128.0,Documentary,6.7,11628
858,4338,39,2016-12-02,Incarnate,5000000,4799774,9371036,1.8742072,2016,tt3216348,Incarnate,Incarnate,91.0,"Horror,Thriller",5.3,10217
859,4348,49,2016-03-04,The Other Side of the Door,5000000,3000342,12905107,2.5810214,2016,tt3566920,The Other Side of the Door,The Other Side of the Door,90.0,Drama,3.8,5
860,4350,51,2014-10-10,Kill the Messenger,5000000,2450846,6656705,1.3313409999999999,2014,tt1216491,Kill the Messenger,Kill the Messenger,112.0,"Biography,Crime,Drama",7.0,41231
861,4353,54,2016-12-28,Paterson,5000000,2141423,10727536,2.1455072,2016,tt5247022,Paterson,Paterson,118.0,"Comedy,Drama,Romance",7.4,55285
862,4400,1,2015-01-23,Mommy,4900000,3498695,17536004,3.5787763265306123,2015,tt3612616,Mommy,Mommy,139.0,Drama,8.1,43020
863,4403,4,2012-08-17,The Awakening,4900000,95933,6924321,1.4131267346938776,2012,tt1373405,The Awakening,The Awakening,83.0,"Horror,Thriller",2.4,141
864,4408,9,2011-09-30,Take Shelter,4750000,1728953,4972016,1.0467402105263155,2011,tt1675192,Take Shelter,Take Shelter,121.0,"Drama,Horror,Thriller",7.4,83200
