,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,return_on_investment,year,movie_id,primary_title,original_title,runtime_minutes,genres,averagerating,numvotes,runtime,Horror,month
1096,66,2013-07-23,Twixt,7000000,0,1268346,0.18119228571428572,2013,tt1756851,Twixt,Twixt,88.0,"Comedy,Fantasy,Horror",4.8,9774,under,True,7
1098,73,2012-09-21,House at the End of the Street,6900000,31611916,44103982,6.391881449275362,2012,tt1582507,House at the End of the Street,House at the End of the Street,101.0,"Drama,Horror,Thriller",5.6,66303,sweet spot,True,9
1100,84,2014-10-03,Annabelle,6500000,84273813,256862920,39.517372307692305,2014,tt3322940,Annabelle,Annabelle,99.0,"Horror,Mystery,Thriller",5.4,122039,sweet spot,True,10
1107,36,2019-02-08,The Prodigy,6000000,14856291,19789712,3.2982853333333333,2019,tt4504044,The Prodigy,The Prodigy,92.0,"Horror,Thriller",5.9,11456,under,True,2
1108,37,2018-11-30,The Possession of Hannah Grace,6000000,14836174,42785387,7.130897833333333,2018,tt5734576,The Possession of Hannah Grace,The Possession of Hannah Grace,86.0,"Horror,Mystery,Thriller",5.2,11629,under,True,11
1126,20,2018-09-28,Hell Fest,5500000,11107431,18119231,3.2944056363636363,2018,tt1999890,Hell Fest,Hell Fest,89.0,Horror,5.5,8662,under,True,9
1131,38,2013-07-19,Grabbers,5300000,0,440821,0.08317377358490566,2013,tt1525366,Grabbers,Grabbers,94.0,"Comedy,Horror,Sci-Fi",6.3,15727,sweet spot,True,7
1133,49,2017-02-24,Get Out,5000000,176040665,255367951,51.0735902,2017,tt5052448,Get Out,Get Out,104.0,"Horror,Mystery,Thriller",7.7,400474,sweet spot,True,2
1135,51,2011-10-21,Paranormal Activity 3,5000000,104028807,207039844,41.4079688,2011,tt1778304,Paranormal Activity 3,Paranormal Activity 3,83.0,"Horror,Mystery,Thriller",5.8,85689,under,True,10
1136,54,2016-03-11,10 Cloverfield Lane,5000000,72082999,108286422,21.6572844,2016,tt1179933,10 Cloverfield Lane,10 Cloverfield Lane,103.0,"Drama,Horror,Mystery",7.2,260383,sweet spot,True,3
1139,58,2017-10-13,Happy Death Day,5000000,55683845,125010260,25.002052,2017,tt5308322,Happy Death Day,Happy Death Day,96.0,"Horror,Mystery,Thriller",6.5,87132,sweet spot,True,10
1140,59,2012-10-19,Paranormal Activity 4,5000000,53900335,142817992,28.5635984,2012,tt2109184,Paranormal Activity 4,Paranormal Activity 4,88.0,"Horror,Mystery,Thriller",4.6,58408,under,True,10
1141,60,2014-10-24,Ouija,5000000,50856010,103300632,20.6601264,2014,tt1204977,Ouija,Ouija,89.0,"Horror,Mystery,Thriller",4.5,44054,under,True,10
1144,70,2014-01-03,Paranormal Activity: The Marked Ones,5000000,32462372,90904854,18.1809708,2014,tt2473682,Paranormal Activity: The Marked Ones,Paranormal Activity: The Marked Ones,84.0,"Horror,Mystery,Thriller",5.0,37147,under,True,1
1145,72,2014-04-11,Oculus,5000000,27695246,44115496,8.8230992,2014,tt2388715,Oculus,Oculus,104.0,"Horror,Mystery",6.5,106906,sweet spot,True,4
1148,76,2015-02-27,The Lazarus Effect,5000000,25801570,38359310,7.671862,2015,tt2918436,The Lazarus Effect,The Lazarus Effect,83.0,"Horror,Mystery,Sci-Fi",5.2,37675,under,True,2
1150,79,2018-03-09,The Strangers: Prey at Night,5000000,24431472,29960051,5.9920102,2018,tt1285009,The Strangers: Prey at Night,The Strangers: Prey at Night,85.0,Horror,5.2,21614,under,True,3
1154,94,2011-09-02,Apollo 18,5000000,17686929,26517819,5.3035638,2011,tt1772240,Apollo 18,Apollo 18,86.0,"Horror,Mystery,Sci-Fi",5.2,51427,under,True,9
1157,4,2017-06-09,It Comes at Night,5000000,13985117,19720203,3.9440406,2017,tt4695012,It Comes at Night,It Comes at Night,91.0,"Horror,Mystery",6.2,69039,under,True,6
1160,21,2017-03-17,The Belko Experiment,5000000,10166820,11792942,2.3585884,2017,tt1082807,The Belko Experiment,The Belko Experiment,89.0,"Horror,Thriller",6.1,38378,under,True,3
1164,39,2016-12-02,Incarnate,5000000,4799774,9371036,1.8742072,2016,tt3216348,Incarnate,Incarnate,91.0,"Horror,Thriller",5.3,10217,under,True,12
1166,46,2016-04-15,Green Room,5000000,3220371,3807503,0.7615006,2016,tt4062536,Green Room,Green Room,95.0,"Horror,Music,Thriller",7.0,90773,sweet spot,True,4
1177,81,2015-05-15,Area 51,5000000,7556,7556,0.0015112,2015,tt1519461,Area 51,Area 51,91.0,"Horror,Sci-Fi,Thriller",4.2,11537,under,True,5
1189,4,2012-08-17,The Awakening,4900000,95933,6924321,1.4131267346938776,2012,tt1373405,The Awakening,The Awakening,83.0,"Horror,Thriller",2.4,141,under,True,8
1191,9,2011-09-30,Take Shelter,4750000,1728953,4972016,1.0467402105263157,2011,tt1675192,Take Shelter,Take Shelter,121.0,"Drama,Horror,Thriller",7.4,83200,over,True,9
