,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,return_on_investment,year
2184,85,2012-01-13,Contraband,25000000,66528000,98406855,3.9362742,2012
2185,86,2017-01-27,A Dogâs Purpose,25000000,64321890,203671625,8.146865,2017
2186,87,2012-04-20,The Lucky One,25000000,60457138,96633833,3.86535332,2012
2191,92,2011-04-22,Madea's Big Happy Family,25000000,53345287,54160818,2.16643272,2011
2192,93,2013-12-13,Tyler Perry's A Madea Christmas,25000000,52543354,52543354,2.10173416,2013
2194,95,2012-01-27,The Grey,25000000,51580136,81249176,3.24996704,2012
2201,2,2014-08-15,The Giver,25000000,45090374,66540205,2.6616082,2014
2205,6,2015-11-20,The Night Before,25000000,43035725,52427346,2.09709384,2015
2214,15,2013-12-25,August: Osage County,25000000,37738810,50738810,2.0295524,2013
2220,21,2018-09-07,Peppermint,25000000,35418723,51800758,2.07203032,2018
2226,27,2016-04-29,Motherâs Day,25000000,32492859,52367022,2.09468088,2016
2237,38,2017-02-03,Rings,25000000,27793018,82917283,3.31669132,2017
2250,51,2015-08-05,Shaun the Sheep,25000000,19375982,101925161,4.07700644,2015
2257,58,2013-10-25,The Counselor,25000000,16973715,71009334,2.84037336,2013
2335,36,2014-06-20,Think Like a Man Too,24000000,65028687,70027933,2.9178305416666666,2014
2336,37,2016-12-16,Fences,24000000,57682904,64282881,2.678453375,2016
2338,39,2011-10-14,Footloose,24000000,51802742,62989834,2.6245764166666667,2011
2339,40,2017-04-07,Going in Style,24000000,45018541,78672579,3.278024125,2017
2370,71,2018-11-16,Green Book,23000000,85080171,322034439,14.001497347826087,2018
2372,73,2015-01-16,The Wedding Ringer,23000000,64460211,80171596,3.4857215652173914,2015
2375,76,2011-10-07,The Ides of March,23000000,40962534,77735925,3.3798228260869565,2011
2379,80,2014-01-10,Her,23000000,25568251,48163815,2.0940789130434783,2014
2381,82,2012-02-17,Kari gurashi no Arietti,23000000,19192510,151496097,6.586786826086956,2012
2398,99,2017-05-05,ChÄi dÃ n zhuÄnjiÄ,23000000,0,58807172,2.5568335652173912,2017
2410,11,2014-02-28,Son of God,22000000,59700064,70949793,3.224990590909091,2014
2412,13,2014-08-08,The Hundred-Foot Journey,22000000,54235441,94270488,4.2850221818181815,2014
2416,17,2012-08-03,Diary of a Wimpy Kid: Dog Days,22000000,49008662,77229695,3.510440681818182,2012
2420,21,2013-11-22,Delivery Man,22000000,30659817,70536870,3.2062213636363635,2013
2421,22,2016-02-05,Hail Caesar!,22000000,30080225,64160680,2.9163945454545455,2016
2428,29,2013-11-27,Homefront,22000000,20158492,51695362,2.3497891818181817,2013
2433,34,2015-09-04,The Transporter Refueled,22000000,16029670,69698495,3.168113409090909,2015
2457,58,2012-06-22,To Rome with Love,21500000,16684352,74326015,3.457023953488372,2012
2458,59,2012-11-16,Silver Linings Playbook,21000000,132092958,236412453,11.257735857142857,2012
